cik_num,date,doc_link,filings,html_link,inter_link,sic_num,xbrl_link
0001326380,2010-09-08,https://www.sec.gov/Archives/edgar/data/1326380/000095012310084627/0000950123-10-084627-index.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1326380/000095012310084627/d75281e10vq.htm,https://www.sec.gov/cgi-bin/viewer?action=view&cik=1326380&accession_number=0000950123-10-084627&xbrl_type=v,5734,https://www.sec.gov/Archives/edgar/data/1326380/000095012310084627/gme-20100731.xml
0001326380,2010-08-19,https://www.sec.gov/Archives/edgar/data/1326380/000115752310005164/0001157523-10-005164-index.htm,8-K,,N/A,5734,N/A
0001326380,2010-07-27,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000502/0000950138-10-000502-index.htm,8-K,,N/A,5734,N/A
0001326380,2010-06-24,https://www.sec.gov/Archives/edgar/data/1326380/000115752310003802/0001157523-10-003802-index.htm,8-K,,N/A,5734,N/A
0001326380,2010-06-17,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000458/0000950138-10-000458-index.htm,8-K,,N/A,5734,N/A
0001326380,2010-06-09,https://www.sec.gov/Archives/edgar/data/1326380/000095012310056938/0000950123-10-056938-index.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1326380/000095012310056938/d73338e10vq.htm,https://www.sec.gov/cgi-bin/viewer?action=view&cik=1326380&accession_number=0000950123-10-056938&xbrl_type=v,5734,https://www.sec.gov/Archives/edgar/data/1326380/000095012310056938/gme-20100501.xml
0001326380,2010-06-02,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000420/0000950138-10-000420-index.htm,8-K,,N/A,5734,N/A
0001326380,2010-05-20,https://www.sec.gov/Archives/edgar/data/1326380/000115752310003300/0001157523-10-003300-index.htm,8-K,,N/A,5734,N/A
0001326380,2010-05-18,https://www.sec.gov/Archives/edgar/data/1326380/000095012310050895/0000950123-10-050895-index.htm,DEF 14A,,N/A,5734,N/A
0001326380,2010-04-09,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000269/0000950138-10-000269-index.htm,8-K,,N/A,5734,N/A
0001326380,2010-03-30,https://www.sec.gov/Archives/edgar/data/1326380/000095012310030164/0000950123-10-030164-index.htm,10-K,https://www.sec.gov/Archives/edgar/data/1326380/000095012310030164/d70778e10vk.htm,https://www.sec.gov/cgi-bin/viewer?action=view&cik=1326380&accession_number=0000950123-10-030164&xbrl_type=v,5734,https://www.sec.gov/Archives/edgar/data/1326380/000095012310030164/gme-20100130.xml
0001326380,2010-03-18,https://www.sec.gov/Archives/edgar/data/1326380/000115752310001638/0001157523-10-001638-index.htm,8-K,,N/A,5734,N/A
0001326380,2010-02-24,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000131/0000950138-10-000131-index.htm,8-K,,N/A,5734,N/A
0001326380,2010-02-10,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000091/0000950138-10-000091-index.htm,8-K,,N/A,5734,N/A
0001326380,2010-02-04,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000032/0000950138-10-000032-index.htm,S-8,,N/A,5734,N/A
0001326380,2010-01-29,https://www.sec.gov/Archives/edgar/data/1326380/000108636410008247/0001086364-10-008247-index.htm,SC 13G,,N/A,5734,N/A
0001326380,2010-01-13,https://www.sec.gov/Archives/edgar/data/1326380/000095013810000010/0000950138-10-000010-index.htm,8-K,,N/A,5734,N/A
0001326380,2009-12-09,https://www.sec.gov/Archives/edgar/data/1326380/000095012309069549/0000950123-09-069549-index.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1326380/000095012309069549/d69085e10vq.htm,https://www.sec.gov/cgi-bin/viewer?action=view&cik=1326380&accession_number=0000950123-09-069549&xbrl_type=v,5734,https://www.sec.gov/Archives/edgar/data/1326380/000095012309069549/gme-20091031.xml
0001326380,2009-11-19,https://www.sec.gov/Archives/edgar/data/1326380/000115752309008187/0001157523-09-008187-index.htm,8-K,,N/A,5734,N/A
0001326380,2009-11-09,https://www.sec.gov/Archives/edgar/data/1326380/000000000009063296/0000000000-09-063296-index.htm,UPLOAD,,N/A,5734,N/A
N/A,2009-10-09,https://www.sec.gov/Archives/edgar/data/1326380/000095013809000667/0000950138-09-000667-index.htm,SC 13D/A,,N/A,N/A,N/A
0001326380,2009-09-29,https://www.sec.gov/Archives/edgar/data/1326380/000095012309047091/0000950123-09-047091-index.htm,CORRESP,,N/A,5734,N/A
0001326380,2009-09-09,https://www.sec.gov/Archives/edgar/data/1326380/000095012309042090/0000950123-09-042090-index.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1326380/000095012309042090/d68990e10vq.htm,https://www.sec.gov/cgi-bin/viewer?action=view&cik=1326380&accession_number=0000950123-09-042090&xbrl_type=v,5734,https://www.sec.gov/Archives/edgar/data/1326380/000095012309042090/gme-20090801.xml
0001326380,2009-09-04,https://www.sec.gov/Archives/edgar/data/1326380/000000000009049419/0000000000-09-049419-index.htm,UPLOAD,,N/A,5734,N/A
0001326380,2009-08-25,https://www.sec.gov/Archives/edgar/data/1326380/000095013809000542/0000950138-09-000542-index.htm,8-K,,N/A,5734,N/A
0001326380,2009-08-20,https://www.sec.gov/Archives/edgar/data/1326380/000115752309006102/0001157523-09-006102-index.htm,8-K,,N/A,5734,N/A
0001326380,2009-06-11,https://www.sec.gov/Archives/edgar/data/1326380/000095012309013296/0000950123-09-013296-index.htm,10-Q,https://www.sec.gov/Archives/edgar/data/1326380/000095012309013296/d68027e10vq.htm,N/A,5734,N/A
0001326380,2009-05-22,https://www.sec.gov/Archives/edgar/data/1326380/000095013409011302/0000950134-09-011302-index.htm,DEF 14A,,N/A,5734,N/A
0001326380,2009-05-21,https://www.sec.gov/Archives/edgar/data/1326380/000115752309004051/0001157523-09-004051-index.htm,8-K,,N/A,5734,N/A
